"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"322",13,"Cedric Tillman",CLE,"WR108","5","3 out of 5 stars","-64"
"323",13,"David Bell",CLE,"WR109","5","3 out of 5 stars","-"
"324",13,"Keaontay Ingram",ARI,"RB90","14","3 out of 5 stars","-71"
"325",13,"Albert Okwuegbunam",DEN,"TE39","9","4 out of 5 stars","-29"
"326",13,"Tank Dell",HOU,"WR110","7","4 out of 5 stars","-87"
"327",13,"Braxton Berrios",MIA,"WR111","10","3 out of 5 stars","-"
"328",13,"Hassan Haskins",TEN,"RB91","7","4 out of 5 stars","-11"
"329",13,"Evan Hull",IND,"RB92","11","3 out of 5 stars","-16"
"330",13,"Robert Tonyan",CHI,"TE40","13","4 out of 5 stars","-14"
"331",13,"Eric Gray",NYG,"RB93","13","2 out of 5 stars","-60"
"332",13,"Puka Nacua",LAR,"WR112","10","3 out of 5 stars","-"
"333",14,"Chris Evans",CIN,"RB94","7","3 out of 5 stars","-"
"334",14,"Brett Maher",FA,"K27","-","-","-"
"335",14,"Jonnu Smith",ATL,"TE41","11","3 out of 5 stars","-"
"336",14,"Jacoby Brissett",WAS,"QB34","14","1 out of 5 stars","-50"
"337",14,"Will Levis",TEN,"QB35","7","4 out of 5 stars","-68"
"338",14,"Nelson Agholor",BAL,"WR113","13","3 out of 5 stars","-"
"339",14,"Luke Schoonmaker",DAL,"TE42","7","3 out of 5 stars","-52"
"340",14,"Mason Crosby",FA,"K28","-","-","-"
"341",14,"Cade York",CLE,"K29","5","3 out of 5 stars","-"
"342",14,"Eno Benjamin",NO,"RB95","11","4 out of 5 stars","-"
"343",14,"Rodrigo Blankenship",TB,"K30","5","2 out of 5 stars","-"
"344",14,"Justyn Ross",KC,"WR114","10","2 out of 5 stars","-55"
"345",14,"Greg Dortch",ARI,"WR115","14","3 out of 5 stars","-63"
"346",14,"Kyle Philips",TEN,"WR116","7","3 out of 5 stars","-38"
"347",14,"Chosen Anderson",MIA,"WR117","10","3 out of 5 stars","-"
"348",14,"DeeJay Dallas",SEA,"RB96","5","2 out of 5 stars","-"
"349",14,"Julio Jones",FA,"WR118","-","-","-"
"350",14,"Cameron Dicker",LAC,"K31","5","4 out of 5 stars","-"
"351",14,"Salvon Ahmed",MIA,"RB97","10","1 out of 5 stars","-"
"352",14,"Trayveon Williams",CIN,"RB98","7","3 out of 5 stars","-59"
"353",14,"Melvin Gordon III",FA,"RB99","-","-","-43"
"354",14,"Foster Moreau",NO,"TE43","11","5 out of 5 stars","-"
"355",14,"J.D. McKissic",FA,"RB100","-","-","-"
"356",14,"Michael Wilson",ARI,"WR119","14","3 out of 5 stars","-62"
"357",14,"Tristan Vizcaino",DAL,"K32","7","3 out of 5 stars","-"
"358",14,"Myles Gaskin",MIA,"RB101","10","1 out of 5 stars","-"
"359",14,"Darnell Washington",PIT,"TE44","6","4 out of 5 stars","-35"
"360",14,"Jarvis Landry",FA,"WR120","-","-","-101"
"361",14,"Jamison Crowder",NYG,"WR121","13","3 out of 5 stars","-"
"362",14,"Chicago Bears",CHI,"DST29","13","1 out of 5 stars","-57"
"363",14,"Tutu Atwell",LAR,"WR122","10","3 out of 5 stars","-45"
"364",14,"Houston Texans",HOU,"DST30","7","3 out of 5 stars","-73"
"365",14,"Eddy Pineiro",CAR,"K33","7","3 out of 5 stars","-"
"366",14,"Kenyan Drake",FA,"RB102","-","-","-"
"367",14,"Sam Darnold",SF,"QB36","9","3 out of 5 stars","-66"
"368",14,"Atlanta Falcons",ATL,"DST31","11","5 out of 5 stars","-65"
"369",14,"Darrel Williams",FA,"RB103","-","-","-"
"370",14,"Tucker Kraft",GB,"TE45","6","4 out of 5 stars","-"
"371",14,"Colt McCoy",ARI,"QB37","14","2 out of 5 stars","-"
"372",14,"Will Dissly",SEA,"TE46","5","2 out of 5 stars","-60"
"373",14,"Adam Trautman",DEN,"TE47","9","4 out of 5 stars","-"
"374",14,"Noah Gray",KC,"TE48","10","4 out of 5 stars","-44"
"375",14,"Gardner Minshew II",IND,"QB38","11","4 out of 5 stars","-101"
"376",14,"Chris Rodriguez Jr.",WAS,"RB104","14","3 out of 5 stars","-62"
